,Stratified Sampling,Simple Sampling,Cluster Sampling,Systematic Sampling,Cross-Validation Sampling
Logistic Regression,0.9248366013071895,0.9183006535947712,0.9811704384724187,0.9306930693069309,0.9206835958427086
Random Forest,1.0,1.0,1.0,1.0,1.0
SVM,0.7098039215686275,0.6699346405228758,0.8172921150810732,0.801980198019802,0.7169013179042109
k-NN,0.9843137254901961,0.9869281045751634,0.9685961810466761,0.9702970297029703,0.9809964641594343
Gradient Boosting,0.9980392156862745,1.0,0.9977678571428572,1.0,0.9980349298189222
